1;10;1;1;100000;1000;22657;3.9833
1;10;1;1;100000;10000;3596.3;18.415
1;10;1;1;100000;100000;112.56;217.63
1;10;1;1;1000000;1000;12273;5.1952
1;10;1;1;1000000;10000;1174.9;24.247
1;10;1;1;1000000;100000;111.88;205.49
1;10;1;1;2000000;1000;12024;5.2935
1;10;1;1;2000000;10000;1151.3;25.039
1;10;1;1;2000000;100000;94.294;220.62
1;10;1;1;10000000;1000;11552;6.2867
1;10;1;1;10000000;10000;1228.1;24.975
1;10;1;1;10000000;100000;102.29;236.19
1;10;1;10;100000;1000;25978;3.4782
1;10;1;10;100000;10000;10112;9.2847
1;10;1;10;100000;100000;1023.8;83.236
1;10;1;10;1000000;1000;24147;3.6594
1;10;1;10;1000000;10000;8400.2;11.804
1;10;1;10;1000000;100000;1197.4;73.786
1;10;1;10;2000000;1000;22858;3.7151
1;10;1;10;2000000;10000;7141.3;10.755
1;10;1;10;2000000;100000;1095.1;78.624
1;10;1;10;10000000;1000;22693;4.3637
1;10;1;10;10000000;10000;6281.5;14.308
1;10;1;10;10000000;100000;951.27;71.492
1;10;1;60;100000;1000;25862;3.8521
1;10;1;60;100000;10000;10859;8.6452
1;10;1;60;100000;100000;1128.8;79.862
1;10;1;60;1000000;1000;23553;3.9048
1;10;1;60;1000000;10000;9734.3;9.345
1;10;1;60;1000000;100000;982;66.852
1;10;1;60;2000000;1000;25408;3.5738
1;10;1;60;2000000;10000;7993.9;9.2784
1;10;1;60;2000000;100000;1056.6;74.418
1;10;1;60;10000000;1000;25151;4.3685
1;10;1;60;10000000;10000;6490.1;12.267
1;10;1;60;10000000;100000;890.33;90.521
1;10;1;120;100000;1000;25709;3.52
1;10;1;120;100000;10000;10811;8.645
1;10;1;120;100000;100000;1310.2;73.396
1;10;1;120;1000000;1000;24950;3.9642
1;10;1;120;1000000;10000;9564.6;9.7595
1;10;1;120;1000000;100000;1297.5;64.184
1;10;1;120;2000000;1000;25113;3.6288
1;10;1;120;2000000;10000;8569;8.637
1;10;1;120;2000000;100000;1065.5;70.385
1;10;1;120;10000000;1000;25327;3.6521
1;10;1;120;10000000;10000;7652.2;10.399
1;10;1;120;10000000;100000;1228.9;78.21
1;10;1;300;100000;1000;24394;3.4037
1;10;1;300;100000;10000;11320;8.4771
1;10;1;300;100000;100000;1177;68.858
1;10;1;300;1000000;1000;25810;3.6102
1;10;1;300;1000000;10000;10239;8.9053
1;10;1;300;1000000;100000;1272.2;70.905
1;10;1;300;2000000;1000;24451;3.5715
1;10;1;300;2000000;10000;5288.8;9.8958
1;10;1;300;2000000;100000;1248.7;80.725
1;10;1;300;10000000;1000;24212;3.6827
1;10;1;300;10000000;10000;6646.4;12.432
1;10;1;300;10000000;100000;1144.8;83.837
1;10;2;1;100000;1000;20755;4.0268
1;10;2;1;100000;10000;3154.5;15.595
1;10;2;1;100000;100000;318.28;128
1;10;2;1;1000000;1000;12164;5.0291
1;10;2;1;1000000;10000;2703.7;18.804
1;10;2;1;1000000;100000;331.29;137.53
1;10;2;1;2000000;1000;12190;5.156
1;10;2;1;2000000;10000;2127.8;23.5
1;10;2;1;2000000;100000;363.06;152.7
1;10;2;1;10000000;1000;12893;5.6128
1;10;2;1;10000000;10000;1336.1;25.679
1;10;2;1;10000000;100000;344.76;178.61
1;10;2;10;100000;1000;27570;3.6416
1;10;2;10;100000;10000;10316;8.8329
1;10;2;10;100000;100000;1024.4;88.188
1;10;2;10;1000000;1000;25330;3.394
1;10;2;10;1000000;10000;7879.2;10.637
1;10;2;10;1000000;100000;1096.3;80.847
1;10;2;10;2000000;1000;25435;3.4625
1;10;2;10;2000000;10000;8531.8;9.3814
1;10;2;10;2000000;100000;971.4;73.145
1;10;2;10;10000000;1000;24526;3.7329
1;10;2;10;10000000;10000;7615.6;11.198
