1;1;1;5882.9;503.02
1;1;2;7005.6;384.57
1;1;3;6892.6;372.64
1;1;4;7355.8;414.98
1;1;5;6709;404.29
1;1;6;7859.8;354.09
1;1;7;7380.4;393.85
1;1;8;6860.6;384.95
1;1;9;7353.9;400.27
1;1;10;7255.9;361.51
1;1;11;8100.7;354.71
1;1;12;7759.8;384.22
1;1;13;7285;418.19
1;1;14;6851.1;398.64
1;1;15;7686.8;384.66
1;1;16;7087.6;399.54
1;1;17;6941.9;378.72
1;1;18;7211.5;384.31
1;2;1;7776.9;364.95
1;2;2;8436.4;314.55
1;2;3;8711.4;319.03
1;2;4;7972.4;329.55
1;2;5;9191.1;307.32
1;2;6;8216;325.32
1;2;7;8878.6;313.45
1;2;8;9023.6;307.22
1;2;9;9224.8;310.57
1;2;10;9157.3;314.64
1;2;11;9394.9;312.75
1;2;12;9053;306.24
1;2;13;8708.4;300.43
1;2;14;8300.4;317.24
1;2;15;8523.1;309.71
1;2;16;8767.5;328.65
1;2;17;9841.7;287.27
1;2;18;9861.4;310.09
1;3;1;10114;286.39
1;3;2;10517;265.26
1;3;3;9882.4;289.29
1;3;4;9102.1;290.05
1;3;5;9130.4;283.66
1;3;6;9793.3;294.35
1;3;7;9484.2;281.69
1;3;8;9962.5;285.11
1;3;9;9381.8;265.39
1;3;10;9962.3;287.62
1;3;11;10419;270.49
1;3;12;9966.8;272.83
1;3;13;10170;264.22
1;3;14;10168;272.87
1;3;15;10060;281.63
1;3;16;9582.1;270.07
1;3;17;10115;263.71
1;3;18;10505;263.14
1;4;1;10382;276.56
1;4;2;9793.7;295.74
1;4;3;9322.5;305.17
1;4;4;9141.9;286.45
1;4;5;9442.7;286.84
1;4;6;9298.4;281
1;4;7;9424.6;282.2
1;4;8;10043;292.8
1;4;9;10214;266.68
1;4;10;10127;270.57
1;4;11;9834.2;275.67
1;4;12;9523.8;282.76
1;4;13;10221;270.13
1;4;14;9682.1;288.16
1;4;15;10323;275.56
