$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,<$f1,<$f2
1,0.0,0,0.0,-1.0,2.0,1.0,2.0,1.0,0.0,2.0,-1.0,2.0,3.0,-1.0,0.0,2.0,3.0,1.0,-1.0,2.0,-1.0,2.0,-1.0,0.0,3.0,3.0,3.0,0.0,-1.0,1.0,1.0,-1.0,0.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,2.0,0.0,-1.0,1.0,-1.0,3.0,3.0,0.0,96563.0,579.0
3,1.0,2,1.0,3.0,2.0,0.0,2.0,2.0,-1.0,3.0,-1.0,0.0,2.0,1.0,-1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,-1.0,0.0,2.0,0.0,1.0,0.0,1.0,-1.0,3.0,1.0,0.0,0.0,3.0,2.0,2.0,-1.0,3.0,3.0,2.0,0.0,2.0,-1.0,3.0,0.0,0.0,0.0,0.0,96673.0,629.0
1,0.0,1,0.0,0.0,-1.0,0.0,-1.0,2.0,2.0,2.0,0.0,0.0,1.0,-1.0,3.0,-1.0,0.0,3.0,2.0,2.0,-1.0,1.0,2.0,3.0,-1.0,0.0,2.0,-1.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,96221.0,608.0
2,-1.0,1,1.0,3.0,0.0,3.0,-1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,-1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,-1.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,2.0,1.0,-1.0,96239.0,611.0
0,-1.0,-1,2.0,1.0,0.0,1.0,2.0,-1.0,0.0,2.0,1.0,2.0,3.0,-1.0,0.0,0.0,3.0,2.0,-1.0,3.0,2.0,-1.0,0.0,0.0,2.0,2.0,2.0,-1.0,0.0,2.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,3.0,0.0,2.0,3.0,-1.0,3.0,0.0,3.0,1.0,96386.0,543.0
2,0.0,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,-1.0,3.0,2.0,-1.0,-1.0,1.0,1.0,-1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,-1.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,96155.0,653.0
-1,0.0,3,-1.0,0.0,2.0,0.0,2.0,3.0,2.0,-1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,-1.0,1.0,0.0,-1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,-1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,2.0,-1.0,3.0,-1.0,1.0,-1.0,96508.0,570.0
-1,1.0,1,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,-1.0,1.0,2.0,2.0,0.0,-1.0,3.0,0.0,0.0,-1.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,-1.0,2.0,2.0,0.0,3.0,-1.0,0.0,3.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,-1.0,96537.0,600.0
2,1.0,0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,-1.0,1.0,2.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,2.0,0.0,1.0,2.0,-1.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,-1.0,3.0,-1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,96474.0,623.0
2,3.0,2,0.0,-1.0,-1.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,3.0,-1.0,0.0,2.0,3.0,-1.0,1.0,3.0,2.0,1.0,0.0,-1.0,2.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,-1.0,96439.0,637.0
