$Culture,$Criticality,$Criticality Modifier,$Initial Known,$Inter-Dependency,$Dynamism,$Size,$Plan,$Team Size,<$f1,<$f2
0.150777456,0.918087544,6.53087326,0.800751927,86.46293642,6.482609668,1.278410404,1.356278252,11.07520777,456.8933963,0.058340478
0.159608788,0.866411163,5.730912038,0.608565289,82.13934565,7.720372136,0.404801901,3.141289725,18.78223471,327.825002,0.216025089
0.199126164,1.222088082,4.361894489,0.788313787,80.51451139,7.690121859,1.2668995,2.154157877,17.57096637,551.8536266,0.101528685
0.114816247,0.876211519,2.156301161,0.902963836,86.09567085,1.290330647,1.514593655,0.877500854,15.16129112,158.1543394,0.020789612
0.193023305,1.061814738,4.30746475,0.79808097,81.31481474,1.778515262,0.578880877,0.676206309,13.98429728,256.9797901,0.027821626
0.135763618,1.076454652,7.105973965,0.796709175,87.14059841,2.663742511,1.616908942,0.584953542,11.97102612,846.2723771,0.053261855
0.111215491,0.824867779,2.505704848,0.628100632,82.01061201,6.861527111,1.998967429,2.939314153,16.58347383,182.8746468,0.099095196
0.111512811,1.045029946,2.084920991,0.664566235,88.54956399,1.728614699,1.700029059,0.567509217,15.13002838,190.304157,0.024570162
0.193672041,0.925516784,6.378946043,0.735457471,86.96941446,8.899594792,1.136952093,2.964626301,19.74228545,442.2592776,0.084965235
0.162069615,0.916789364,3.472425944,0.774231192,80.60490414,1.787783362,0.856226618,0.141266523,10.14501408,158.88816,0.021948333
0.163445252,1.087711501,6.004315598,0.60655938,92.73663298,9.097470598,1.003850861,2.323850092,17.21419838,765.0493613,0.090054452
0.154009267,1.215715256,6.073551539,0.700477826,82.51203034,2.516204861,0.920091271,1.721510427,16.95401533,583.7247507,0.018719387
0.119503456,1.169513748,7.233190979,0.663377198,92.20598049,1.248791393,0.073231918,3.623323442,16.17411904,531.1014806,0.005066454
0.194270271,1.191101206,7.280750305,0.946973596,85.70776746,3.855435844,1.066800255,2.517682252,11.38234926,850.4713951,0.071670466
0.199289764,0.843528818,5.658416515,0.689180075,89.73960188,4.981054008,0.000744182,1.508893424,13.89146931,231.1778574,0.125052354
0.136073197,1.110315155,3.09635518,0.681958894,93.79602904,8.337053545,1.631585988,3.38420392,15.07648475,317.7673084,0.088255061
0.186425581,0.892775358,5.425926608,0.762606628,99.74250763,3.675372784,0.020334242,4.550934465,14.64689673,275.9633368,0.041515754
0.104993221,0.895230547,6.013765435,0.900897983,91.74452566,7.349079737,1.319613931,1.626839403,19.46494746,488.8917923,0.053539595
0.125612397,1.093416298,3.527645301,0.914340082,87.33275068,1.760361989,0.922025748,1.084912331,13.18046779,265.9125756,0.013830922
0.105179101,1.001624811,4.009916318,0.727216315,89.4676648,2.61034831,0.806276179,3.114879156,18.80399946,252.0067533,0.008107306
0.189303324,1.024375635,2.053710885,0.675186065,98.37972166,3.659750691,1.518721327,0.973062235,17.12727232,211.8186047,0.086353061
0.103742757,1.08145122,7.488482885,0.662930364,87.42606591,1.898047307,1.813946584,4.333441313,11.25701216,749.8172258,0.020645719
0.183217404,0.903179362,5.262537393,0.895116352,90.34737264,4.406669424,0.648294753,3.651638538,12.81952013,154.7285505,0.101549937
0.171648873,0.964755977,5.744216355,0.699097557,85.54541843,4.563640719,0.678891034,4.731676501,11.80965872,298.9016974,0.042613872
